model,decile,n,predicted,actual,p_min,p_max,gap
lightgbm_inner_es,0,1084,0.32934369999412516,0.3726937269372694,0.1576573418674523,0.39222405988134934,0.043350026943144215
lightgbm_inner_es,1,1084,0.4226664420870085,0.40313653136531363,0.3924045260299516,0.45178630694799715,-0.019529910721694854
lightgbm_inner_es,2,1082,0.47938834964477534,0.47689463955637706,0.4519213939266235,0.5102735664544104,-0.002493710088398271
lightgbm_inner_es,3,1083,0.5407168900923115,0.5060018467220684,0.51029561180884,0.5721013282284888,-0.034715043370243115
lightgbm_inner_es,4,1083,0.6008470940552587,0.5604801477377654,0.5721147231729006,0.6257444618424901,-0.04036694631749327
lightgbm_inner_es,5,1083,0.648410841736346,0.6528162511542013,0.625756960815403,0.6702809568741065,0.004405409417855277
lightgbm_inner_es,6,1083,0.689773845685798,0.6925207756232687,0.6702813098343114,0.7102006767454666,0.0027469299374707212
lightgbm_inner_es,7,1083,0.7306409916046258,0.7349953831948292,0.7102386765059182,0.747850426218784,0.004354391590203344
lightgbm_inner_es,8,1083,0.7637585136835543,0.7987072945521699,0.7479059356074439,0.7818865727864714,0.034948780868615636
lightgbm_inner_es,9,1084,0.8204374097326894,0.7896678966789668,0.7820049659945297,0.8922797024277629,-0.030769513053722664
