validate_year,train_years,model,n_train,n_validate,n_train_rows_with_null_feature,n_validate_rows_with_null_feature,train_positive_rate,validate_positive_rate,accuracy,log_loss,predicted_positive_rate,accuracy_minus_constant,lgb_best_iteration
2015,2011-2014,constant,5400,1532,2061,180,0.633889,0.54047,0.54047,0.708135,1.0,0.0,
2015,2011-2014,logistic,5400,1532,2061,180,0.633889,0.54047,0.62141,0.684099,0.789817,0.08094,
2015,2011-2014,lightgbm,5400,1532,2061,180,0.633889,0.54047,0.627937,0.648182,0.801567,0.087467,53
2016,2011-2015,constant,6932,1533,2241,155,0.613243,0.534899,0.534899,0.703389,1.0,0.0,
2016,2011-2015,logistic,6932,1533,2241,155,0.613243,0.534899,0.654273,0.673913,0.577952,0.119374,
2016,2011-2015,lightgbm,6932,1533,2241,155,0.613243,0.534899,0.664057,0.605747,0.570776,0.129159,169
2017,2011-2016,constant,8465,1540,2396,168,0.599055,0.645455,0.645455,0.654762,1.0,0.0,
2017,2011-2016,logistic,8465,1540,2396,168,0.599055,0.645455,0.657143,0.628105,0.649351,0.011688,
2017,2011-2016,lightgbm,8465,1540,2396,168,0.599055,0.645455,0.67987,0.593844,0.691558,0.034416,160
2018,2011-2017,constant,10005,1570,2564,166,0.606197,0.692357,0.692357,0.633254,1.0,0.0,
2018,2011-2017,logistic,10005,1570,2564,166,0.606197,0.692357,0.642038,0.630402,0.714013,-0.050318,
2018,2011-2017,lightgbm,10005,1570,2564,166,0.606197,0.692357,0.664968,0.61062,0.748408,-0.027389,30
2019,2011-2018,constant,11575,1588,2730,150,0.617883,0.572418,0.572418,0.68694,1.0,0.0,
2019,2011-2018,logistic,11575,1588,2730,150,0.617883,0.572418,0.615869,0.665716,0.684509,0.043451,
2019,2011-2018,lightgbm,11575,1588,2730,150,0.617883,0.572418,0.626574,0.63833,0.814861,0.054156,44
2020,2011-2019,constant,13163,1594,2880,147,0.612398,0.464868,0.464868,0.735144,1.0,0.0,
2020,2011-2019,logistic,13163,1594,2880,147,0.612398,0.464868,0.607905,0.683572,0.577164,0.143036,
2020,2011-2019,lightgbm,13163,1594,2880,147,0.612398,0.464868,0.584693,0.684291,0.653074,0.119824,40
2021,2011-2020,constant,14757,1475,3027,112,0.596463,0.750508,0.750508,0.614227,1.0,0.0,
2021,2011-2020,logistic,14757,1475,3027,112,0.596463,0.750508,0.708475,0.580246,0.704407,-0.042034,
2021,2011-2020,lightgbm,14757,1475,3027,112,0.596463,0.750508,0.737627,0.553194,0.741695,-0.012881,59
