ticker,company_name,match_kind,recovered_cik,n_eps_records,earliest_period_end
ABMD,Abiomed,exact,0000815094,140.0,2010-09-30
ACE,Chubb,exact_ambiguous,0000020171,80.0,2008-06-30
ADS,Alliance Data Systems,exact,0001101215,186.0,2009-06-30
AGN,Allergan,exact_ambiguous,0001578845,94.0,2012-03-31
AKS,AK Steel,exact_ambiguous,0000918160,94.0,2008-06-30
ALTR,Altera,exact,0000768251,40.0,2008-06-27
ALXN,Alexion Pharmaceuticals,exact,0000899866,154.0,2009-06-30
ANDV,Andeavor,exact,0000050104,115.0,2009-06-30
ANR,Alpha Natural Resources,exact_ambiguous,0001301063,70.0,2008-09-30
ANSS,Ansys,exact,0001013462,90.0,2009-06-30
APOL,Apollo Education Group,exact,0000929887,102.0,2008-11-30
ARG,Airgas,exact,0000804212,84.0,2009-06-30
ARNC,Arconic,exact_ambiguous,0000004281,169.0,2008-06-30
ATVI,Activision Blizzard,exact,0000718877,174.0,2008-06-30
AVP,Avon Products,exact,0000008868,64.0,2008-06-30
AYE,Allegheny Energy,exact,0000003673,10.0,2008-06-30
BBBY,Bed Bath & Beyond,exact_ambiguous,0001130713,180.0,2010-06-30
BHI,Baker Hughes,exact_ambiguous,0000808362,104.0,2008-06-30
BIG,Big Lots,exact,0000768835,166.0,2009-08-01
BMC,BMC Software,exact,0000835729,50.0,2008-06-30
BMS,Bemis,exact_ambiguous,0000011199,118.0,2009-06-30
BRCM,Broadcom Corporation,exact_ambiguous,0001730168,82.0,2017-01-29
BXLT,Baxalta,exact,0001620546,14.0,2014-03-31
CAM,Cameron International,exact_ambiguous,0000941548,96.0,2008-06-30
CBE,Cooper Industries,exact_ambiguous,0001141982,38.0,2008-06-30
CCE,Coca-Cola Enterprises,exact_ambiguous,0001491675,68.0,2010-12-31
CDAY,Ceridian,exact_ambiguous,0000109758,30.0,2010-03-31
CEPH,Cephalon,exact,0000873364,8.0,2009-06-30
CERN,Cerner,exact,0000804753,152.0,2009-07-04
CFN,Carefusion,exact,0001457543,46.0,2010-09-30
CMA,Comerica,exact,0000028412,190.0,2009-03-31
COL,Rockwell Collins,exact,0001137411,128.0,2008-06-30
COV,Covidien,exact_ambiguous,0001385187,82.0,2008-06-27
CPGX,Columbia Pipeline Group,exact,0001629995,22.0,2014-03-31
CSC,Computer Sciences Corporation,exact,0000023082,50.0,2008-07-04
CSRA,CSRA,exact_ambiguous,0001646383,22.0,2015-01-02
CTLT,Catalent,exact,0001596783,120.0,2012-09-30
CTXS,Citrix Systems,exact,0000877890,168.0,2008-06-30
CVH,Coventry Health Care,exact,0001054833,34.0,2009-06-30
CXO,Concho Resources,exact_ambiguous,0001358071,72.0,2009-06-30
DF,Dean Foods,exact_ambiguous,0000931336,120.0,2009-06-30
DISCA,"Discovery, Inc.",exact_ambiguous,0001437107,104.0,2009-03-31
DISCK,Discovery Communications,exact_ambiguous,0001437107,104.0,2009-03-31
DISH,Dish Network,exact_ambiguous,0001001082,182.0,2008-06-30
DLPH,Delphi Automotive,exact,0001521332,178.0,2011-03-31
DNB,Dun & Bradstreet,exact_ambiguous,0001059556,180.0,2008-06-30
DNR,Denbury Resources,exact,0000945764,113.0,2008-06-30
DO,Diamond Offshore Drilling,exact_ambiguous,0000949039,98.0,2008-06-30
DPS,Dr Pepper Snapple Group,exact,0001418135,186.0,2009-03-31
DRE,Duke Realty Corp,exact,0000783280,102.0,2009-06-30
DTV,DirecTV,exact_ambiguous,0001465112,60.0,2009-03-31
EMC,EMC Corporation,exact,0000790070,92.0,2008-06-30
ENDP,Endo International,exact,0001593034,132.0,2013-03-31
ESRX,Express Scripts,exact_ambiguous,0001532063,100.0,2011-03-31
ETFC,E-Trade,exact,0001015780,142.0,2009-06-30
EVHC,Envision Healthcare,exact_ambiguous,0001578318,44.0,2012-03-31
FB,Facebook,exact,0001326801,89.0,2011-06-30
FBHS,Fortune Brands Home & Security,exact,0001519751,154.0,2011-06-30
FL,Foot Locker,exact,0000850209,179.0,2009-10-31
FLIR,FLIR Systems,exact,0000354908,150.0,2008-06-30
FLT,FleetCor Technologies,exact,0001175454,185.0,2010-03-31
FRX,Forest Laboratories,exact_ambiguous,0000038074,60.0,2008-06-30
FTR,Frontier Communications,exact,0000020520,90.0,2010-06-30
GAS,AGL Resources.,exact,0001004155,94.0,2008-09-30
GENZ,Genzyme,exact,0000732485,20.0,2008-06-30
GGP,General Growth Properties,exact_ambiguous,0001496048,33.0,2010-12-31
GMCR,Keurig Green Mountain,exact,0000909954,106.0,2009-06-27
GPS,Gap,exact_ambiguous,0000039911,186.0,2008-08-02
GR,Goodrich Corporation,exact,0000042542,18.0,2008-06-30
HBI,Hanesbrands,exact,0001359841,168.0,2009-07-04
HCBK,Hudson City Bancorp,exact,0000921847,78.0,2008-06-30
HFC,HollyFrontier,exact_ambiguous,0000048039,150.0,2009-06-30
HOLX,Hologic,exact,0000859737,188.0,2008-06-28
HSP,Hospira,exact,0001274057,78.0,2008-06-30
IGT,International Game Technology,exact_ambiguous,0000353944,33.0,2008-06-30
INFO,IHS Markit,exact,0001598014,72.0,2015-02-28
JNS,Janus Capital Group,exact_ambiguous,0001065865,90.0,2009-06-30
JOY,Joy Global,exact,0000801898,48.0,2008-08-01
JOYG,Joy Global,exact,0000801898,48.0,2008-08-01
JWN,Nordstrom,exact_ambiguous,0000072333,174.0,2008-08-02
KFT,Kraft Foods,exact_ambiguous,0001545158,38.0,2011-03-31
KORS,Michael Kors,exact,0001530721,80.0,2012-06-30
KRFT,Kraft Foods,exact_ambiguous,0001545158,38.0,2011-03-31
KSU,Kansas City Southern,exact,0000054480,156.0,2008-06-30
LLL,L3 Technologies,exact,0001039101,46.0,2015-03-27
LM,Legg Mason,exact,0000704051,22.0,2008-06-30
